vin	V(n002)	I(D1)
5.000000000000000e-02	1.656299e-02	1.111944e-09
5.116464961403771e-02	1.694870e-02	1.142990e-09
5.235642740254498e-02	1.734338e-02	1.175034e-09
5.357596526188033e-02	1.774726e-02	1.208113e-09
5.482390980715925e-02	1.816053e-02	1.242269e-09
5.610092271509817e-02	1.858343e-02	1.277544e-09
5.740768107484414e-02	1.901617e-02	1.313983e-09
5.874487774697647e-02	1.945898e-02	1.351631e-09
6.011322173087064e-02	1.991210e-02	1.390539e-09
6.151343854061907e-02	2.037577e-02	1.430758e-09
6.294627058970835e-02	2.085022e-02	1.472340e-09
6.441247758465668e-02	2.133573e-02	1.515344e-09
6.591283692782034e-02	2.183253e-02	1.559828e-09
6.744814412958267e-02	2.234089e-02	1.605855e-09
6.901921323014422e-02	2.286109e-02	1.653490e-09
7.062687723113768e-02	2.339339e-02	1.702804e-09
7.227198853729634e-02	2.393808e-02	1.753869e-09
7.395541940841033e-02	2.449545e-02	1.806761e-09
7.567806242181035e-02	2.506579e-02	1.861562e-09
7.744083094562401e-02	2.564939e-02	1.918356e-09
7.924465962305562e-02	2.624658e-02	1.977234e-09
8.109050486794643e-02	2.685766e-02	2.038291e-09
8.297934537187796e-02	2.748296e-02	2.101626e-09
8.491218262308714e-02	2.812281e-02	2.167346e-09
8.689004143746869e-02	2.877755e-02	2.235563e-09
8.891397050194605e-02	2.944752e-02	2.306394e-09
9.098504293049908e-02	3.013307e-02	2.379965e-09
9.310435683314328e-02	3.083457e-02	2.456409e-09
9.527303589816226e-02	3.155238e-02	2.535866e-09
9.749222998790216e-02	3.228689e-02	2.618483e-09
9.976311574844388e-02	3.303849e-02	2.704420e-09
1.020868972334764e-01	3.380756e-02	2.793844e-09
1.044648065427019e-01	3.459452e-02	2.886932e-09
1.068981044751115e-01	3.539978e-02	2.983872e-09
1.093880811974775e-01	3.622377e-02	3.084866e-09
1.119360569284168e-01	3.706690e-02	3.190127e-09
1.145433826383885e-01	3.792964e-02	3.299881e-09
1.172114407659960e-01	3.881244e-02	3.414371e-09
1.199416459509744e-01	3.971576e-02	3.533854e-09
1.227354457842514e-01	4.064007e-02	3.658604e-09
1.255943215754788e-01	4.158586e-02	3.788915e-09
1.285197891384430e-01	4.255363e-02	3.925098e-09
1.315133995947689e-01	4.354388e-02	4.067490e-09
1.345767401963456e-01	4.455714e-02	4.216447e-09
1.377114351669081e-01	4.559394e-02	4.372350e-09
1.409191465632225e-01	4.665482e-02	4.535611e-09
1.442015751563301e-01	4.774033e-02	4.706667e-09
1.475604613333191e-01	4.885105e-02	4.885987e-09
1.509975860201006e-01	4.998756e-02	5.074078e-09
1.545147716256793e-01	5.115045e-02	5.271479e-09
1.581138830084187e-01	5.234033e-02	5.478775e-09
1.617968284648139e-01	5.355782e-02	5.696591e-09
1.655655607412953e-01	5.480355e-02	5.925600e-09
1.694220780696011e-01	5.607818e-02	6.166530e-09
1.733684252262656e-01	5.738236e-02	6.420161e-09
1.774066946167875e-01	5.871678e-02	6.687340e-09
1.815390273850504e-01	6.008213e-02	6.968978e-09
1.857676145485860e-01	6.147913e-02	7.266061e-09
1.900946981602803e-01	6.290848e-02	7.579655e-09
1.945225724971400e-01	6.437093e-02	7.910915e-09
1.990535852767483e-01	6.586724e-02	8.261091e-09
2.036901389020561e-01	6.739818e-02	8.631543e-09
2.084346917351674e-01	6.896453e-02	9.023741e-09
2.132897594007960e-01	7.056711e-02	9.439288e-09
2.182579161200826e-01	7.220673e-02	9.879926e-09
2.233417960754812e-01	7.388423e-02	1.034755e-08
2.285440948074371e-01	7.560047e-02	1.084423e-08
2.338675706435987e-01	7.735631e-02	1.137222e-08
2.393150461613188e-01	7.915266e-02	1.193398e-08
2.448894096842227e-01	8.099041e-02	1.253220e-08
2.505936168136357e-01	8.287050e-02	1.316984e-08
2.564306919956820e-01	8.479387e-02	1.385011e-08
2.624037301248859e-01	8.676147e-02	1.457656e-08
2.685158981851259e-01	8.877428e-02	1.535307e-08
2.747704369288118e-01	9.083331e-02	1.618391e-08
2.811706625951740e-01	9.293956e-02	1.707378e-08
2.877199686685780e-01	9.509407e-02	1.802786e-08
2.944218276777940e-01	9.729788e-02	1.905185e-08
3.012797930371783e-01	9.955204e-02	2.015206e-08
3.082975009307405e-01	1.018576e-01	2.133543e-08
3.154786722400961e-01	1.042158e-01	2.260969e-08
3.228271145173272e-01	1.066275e-01	2.398337e-08
3.303467240037974e-01	1.090941e-01	2.546592e-08
3.380414876959903e-01	1.116164e-01	2.706787e-08
3.459154854594677e-01	1.141959e-01	2.880089e-08
3.539728921920683e-01	1.168334e-01	3.067800e-08
3.622179800374944e-01	1.195303e-01	3.271369e-08
3.706551206504581e-01	1.222876e-01	3.492412e-08
3.792887875145912e-01	1.251065e-01	3.732736e-08
3.881235583143451e-01	1.279882e-01	3.994360e-08
3.971641173621400e-01	1.309337e-01	4.279544e-08
4.064152580820488e-01	1.339442e-01	4.590823e-08
4.158818855513347e-01	1.370209e-01	4.931038e-08
4.255690191011873e-01	1.401647e-01	5.303382e-08
4.354817949780394e-01	1.433767e-01	5.711444e-08
4.456254690668718e-01	1.466579e-01	6.159262e-08
4.560054196779539e-01	1.500092e-01	6.651386e-08
4.666271503984945e-01	1.534316e-01	7.192941e-08
4.774962930107169e-01	1.569257e-01	7.789713e-08
4.886186104779043e-01	1.604924e-01	8.448229e-08
4.999999999999989e-01	1.641321e-01	9.175864e-08
5.116464961403759e-01	1.678454e-01	9.980948e-08
5.235642740254486e-01	1.716326e-01	1.087289e-07
5.357596526188020e-01	1.754937e-01	1.186234e-07
5.482390980715912e-01	1.794287e-01	1.296132e-07
5.610092271509803e-01	1.834372e-01	1.418340e-07
5.740768107484400e-01	1.875186e-01	1.554391e-07
5.874487774697633e-01	1.916721e-01	1.706014e-07
6.011322173087049e-01	1.958964e-01	1.875157e-07
6.151343854061891e-01	2.001898e-01	2.064010e-07
6.294627058970820e-01	2.045502e-01	2.275028e-07
6.441247758465652e-01	2.089749e-01	2.510963e-07
6.591283692782017e-01	2.134610e-01	2.774883e-07
6.744814412958249e-01	2.180047e-01	3.070198e-07
6.901921323014404e-01	2.226017e-01	3.400686e-07
7.062687723113751e-01	2.272470e-01	3.770504e-07
7.227198853729616e-01	2.319350e-01	4.184207e-07
7.395541940841015e-01	2.366594e-01	4.646750e-07
7.567806242181018e-01	2.414131e-01	5.163484e-07
7.744083094562383e-01	2.461887e-01	5.740141e-07
7.924465962305542e-01	2.509778e-01	6.382806e-07
8.109050486794624e-01	2.557718e-01	7.097875e-07
8.297934537187777e-01	2.605616e-01	7.891999e-07
8.491218262308694e-01	2.653378e-01	8.772014e-07
8.689004143746849e-01	2.700909e-01	9.744862e-07
8.891397050194585e-01	2.748114e-01	1.081750e-06
9.098504293049887e-01	2.794902e-01	1.199681e-06
9.310435683314306e-01	2.841184e-01	1.328952e-06
9.527303589816204e-01	2.886877e-01	1.470208e-06
9.749222998790193e-01	2.931905e-01	1.624062e-06
9.976311574844364e-01	2.976201e-01	1.791088e-06
1.020868972334761e+00	3.019707e-01	1.971817e-06
1.044648065427016e+00	3.062373e-01	2.166734e-06
1.068981044751113e+00	3.104159e-01	2.376274e-06
1.093880811974773e+00	3.145037e-01	2.600827e-06
1.119360569284166e+00	3.184986e-01	2.840741e-06
1.145433826383883e+00	3.223993e-01	3.096321e-06
1.172114407659957e+00	3.262055e-01	3.367836e-06
1.199416459509741e+00	3.299175e-01	3.655523e-06
1.227354457842511e+00	3.335360e-01	3.959593e-06
1.255943215754786e+00	3.370626e-01	4.280236e-06
1.285197891384428e+00	3.404991e-01	4.617625e-06
1.315133995947686e+00	3.438475e-01	4.971921e-06
1.345767401963453e+00	3.471103e-01	5.343277e-06
1.377114351669078e+00	3.502901e-01	5.731844e-06
1.409191465632222e+00	3.533897e-01	6.137769e-06
1.442015751563298e+00	3.564118e-01	6.561205e-06
1.475604613333187e+00	3.593595e-01	7.002307e-06
1.509975860201002e+00	3.622354e-01	7.461239e-06
1.545147716256789e+00	3.650426e-01	7.938172e-06
1.581138830084184e+00	3.677838e-01	8.433286e-06
1.617968284648135e+00	3.704617e-01	8.946775e-06
1.655655607412949e+00	3.730791e-01	9.478842e-06
1.694220780696006e+00	3.756386e-01	1.002970e-05
1.733684252262651e+00	3.781426e-01	1.059959e-05
1.774066946167870e+00	3.805937e-01	1.118875e-05
1.815390273850499e+00	3.829940e-01	1.179743e-05
1.857676145485855e+00	3.853458e-01	1.242592e-05
1.900946981602798e+00	3.876513e-01	1.307448e-05
1.945225724971395e+00	3.899124e-01	1.374344e-05
1.990535852767478e+00	3.921311e-01	1.443309e-05
2.036901389020555e+00	3.943093e-01	1.514378e-05
2.084346917351668e+00	3.964487e-01	1.587584e-05
2.132897594007955e+00	3.985509e-01	1.662963e-05
2.182579161200821e+00	4.006175e-01	1.740553e-05
2.233417960754806e+00	4.026500e-01	1.820394e-05
2.285440948074366e+00	4.046499e-01	1.902525e-05
2.338675706435981e+00	4.066186e-01	1.986988e-05
2.393150461613181e+00	4.085572e-01	2.073827e-05
2.448894096842220e+00	4.104671e-01	2.163086e-05
2.505936168136350e+00	4.123494e-01	2.254813e-05
2.564306919956813e+00	4.142052e-01	2.349054e-05
2.624037301248851e+00	4.160356e-01	2.445861e-05
2.685158981851251e+00	4.178416e-01	2.545283e-05
2.747704369288110e+00	4.196241e-01	2.647375e-05
2.811706625951732e+00	4.213840e-01	2.752189e-05
2.877199686685771e+00	4.231223e-01	2.859782e-05
2.944218276777931e+00	4.248396e-01	2.970212e-05
3.012797930371774e+00	4.265369e-01	3.083538e-05
3.082975009307396e+00	4.282149e-01	3.199820e-05
3.154786722400951e+00	4.298742e-01	3.319121e-05
3.228271145173262e+00	4.315157e-01	3.441506e-05
3.303467240037964e+00	4.331398e-01	3.567040e-05
3.380414876959892e+00	4.347472e-01	3.695792e-05
3.459154854594666e+00	4.363386e-01	3.827832e-05
3.539728921920672e+00	4.379145e-01	3.963230e-05
3.622179800374932e+00	4.394754e-01	4.102060e-05
3.706551206504569e+00	4.410218e-01	4.244397e-05
3.792887875145899e+00	4.425543e-01	4.390319e-05
3.881235583143439e+00	4.440733e-01	4.539904e-05
3.971641173621387e+00	4.455793e-01	4.693234e-05
4.064152580820475e+00	4.470727e-01	4.850393e-05
4.158818855513333e+00	4.485539e-01	5.011465e-05
4.255690191011860e+00	4.500234e-01	5.176538e-05
4.354817949780380e+00	4.514815e-01	5.345702e-05
4.456254690668704e+00	4.529285e-01	5.519048e-05
4.560054196779524e+00	4.543649e-01	5.696671e-05
4.666271503984930e+00	4.557909e-01	5.878667e-05
4.774962930107154e+00	4.572070e-01	6.065135e-05
4.886186104779028e+00	4.586133e-01	6.256175e-05
5.000000000000000e+00	4.600103e-01	6.451894e-05
